threshold	R2	joint average RSS	GM
1.0	0.8583048599597841	0.8009321698904537	0.8291224119001439
1.5	0.8538882735313188	0.8038932874908835	0.828513760512767
2.0	0.8664012373287195	0.8073523932357499	0.83635585276828
2.5	0.8658158967625897	0.811077117158346	0.8379996787207435
3.0	0.8703595744278187	0.8146122411179084	0.8420246810533967
3.5	0.860289688203663	0.8181198262302682	0.8389398370687092
4.0	0.8456144935212292	0.821951557280703	0.8336990762912643
4.5	0.8718671169258662	0.8256459922716682	0.8484418606382499
5.0	0.8927589321358386	0.828545278548696	0.8600530205186915
5.5	0.8769593438675922	0.8305836240514285	0.8534565425229966
6.0	0.875545634822748	0.8327316074104206	0.8538703202753473
6.5	0.8850885603295255	0.8338785800398224	0.8591020846774121
7.0	0.8728062121976466	0.8343381350155187	0.8533554401976609
7.5	0.8986573830293554	0.834747033183909	0.8661129166180181
8.0	0.8845473503143838	0.8360220042879628	0.8599424682485671
8.5	0.8384483155459674	0.8364063976294036	0.8374267342306694
9.0	0.8488201732141163	0.8364742246678464	0.8426245879819227
