threshold	R2	joint average RSS	GM
1.0	0.8936520571664734	0.8285694244587705	0.8604956540696885
1.5	0.8936520571664734	0.8285694244587705	0.8604956540696885
2.0	0.8949536934307685	0.8287668950622633	0.8612247057122332
2.5	0.898922308410016	0.8292263451665303	0.8633713340107477
3.0	0.903788319906408	0.8298753230801178	0.8660436617044012
3.5	0.9099075298665972	0.8310987685864513	0.8696108483682046
4.0	0.9031504379719184	0.8326500915166292	0.867184118184023
4.5	0.9078456087777912	0.8342318658308506	0.8702607288031796
5.0	0.8833552178357834	0.8362237097874189	0.8594664492106207
5.5	0.8896138286484508	0.8370453822161695	0.8629293987493024
6.0	0.9076544890789048	0.837414035670467	0.8718271667561074
6.5	0.8795822462017664	0.8369537851465836	0.8580033160229059
7.0	0.8723187545657228	0.8368266474971326	0.8543884239221105
7.5	0.8693802178549574	0.8364867389204441	0.8527748960396516
8.0	0.8720998539886445	0.8362084321627664	0.8539656032845948
8.5	0.8517284343251347	0.8356510041207267	0.8436514217269909
9.0	0.8653131301578088	0.8353666899353485	0.8502080717668611
